"ID"	"CLONEID"	"GSE22133_hitBLAT"	"GSE22133_geneSymbol"	"GSE22133_description"
"28179"	"H200006967"	"NM_001025079"	"CD47"	"CD47 : CD47 antigen isoform 3 precursor"
"28180"	"H200007751"	"NM_015638"	"TRPC4AP"	"TRPC4AP : TRPC4-associated protein isoform a"
"28181"	"H200006991"	"NM_003226"	"TFF3"	"TFF3 : trefoil factor 3 precursor"
"28183"	"H200007015"	"uc003iqe.1"	"KIAA1450"	"KIAA1450 : KIAA1450 protein (Fragment)."
"28192"	"H200005821"	"NM_005057"	"RBBP5"	"RBBP5 : retinoblastoma binding protein 5"
"28193"	"H200005061"	"NM_198887"	"NUP43"	"NUP43 : nucleoporin 43kDa"
"28195"	"H200005085"	"NM_005972"	"PPYR1"	"PPYR1 : pancreatic polypeptide receptor 1"
"28197"	"H200005109"	"NM_001289"	"CLIC2"	"CLIC2 : chloride intracellular channel 2"
"28199"	"H200005043"	"uc003ajg.1"	"TUG1"	"TUG1 : Homo sapiens primary neuroblastoma cDNA, clone:Nbla00490, full insert sequence."
"28201"	"H200005067"	"NM_145167"	"PIGM"	"PIGM : phosphatidylinositol glycan anchor biosynthesis,"
"28202"	"H200005851"	"NM_152440"	"FLJ32549"	"FLJ32549 : hypothetical protein LOC144577"
"28203"	"H200005091"	"NM_004356"	"CD81"	"CD81 : CD81 antigen"
"28205"	"H200005115"	"NM_139242"	"MTFMT"	"MTFMT : methionyl-tRNA formyltransferase, mitochondrial"
"28207"	"H200005417"	"NM_033276"	"XRCC6BP1"	"XRCC6BP1 : Ku70-binding protein 3"
"28208"	"H200006201"	"NM_002773"	"PRSS8"	"PRSS8 : prostasin preproprotein"
"28209"	"H200005441"	"uc002llt.1"	"LOC400657"	"LOC400657 : hypothetical protein LOC400657"
"28211"	"H200005465"	"NM_025239"	"PDCD1LG2"	"PDCD1LG2 : programmed cell death 1 ligand 2"
"28212"	"H200006249"	"NM_032737"	"LMNB2"	"LMNB2 : lamin B2"
"28213"	"H200005489"	"uc002rei.1"	"KIAA1240"	"KIAA1240 : Protein KIAA1240 (Fragment)."
"28214"	"H200006183"	"NM_001647"	"APOD"	"APOD : apolipoprotein D precursor"
"28215"	"H200005423"	"NM_001039580"	"ASAP"	"ASAP : aster-associated protein"
"28218"	"H200006231"	"NM_014615"	"KIAA0182"	"KIAA0182 : hypothetical protein LOC23199"
"28219"	"H200005471"	"NM_015178"	"RHOBTB2"	"RHOBTB2 : Rho-related BTB domain containing 2"
"28220"	"H200006255"	"NM_003922"	"HERC1"	"HERC1 : guanine nucleotide exchange factor p532"
"28221"	"H300006341"	"NM_152437"	"ZNF664"	"ZNF664 : zinc finger protein 664"
"28222"	"H200003927"	"NM_018638"	"ETNK1"	"ETNK1 : ethanolamine kinase 1 isoform A"
"28227"	"H200003215"	"NM_001001349"	"NKIRAS2"	"NKIRAS2 : NFKB inhibitor interacting Ras-like 2"
"28228"	"H200004277"	"uc001suv.1"	"AK021534"	"AK021534 : Homo sapiens cDNA FLJ11472 fis, clone HEMBA1001711."
"28229"	"H200003517"	"NM_005853"	"IRX5"	"IRX5 : iroquois homeobox protein 5"
"28230"	"H200004301"	"NM_020235"	"BBX"	"BBX : HMG-BOX transcription factor BBX"
"28231"	"H200003541"	"NM_003155"	"STC1"	"STC1 : stanniocalcin 1 precursor"
"28233"	"H200003565"	"NM_017797"	"BTBD2"	"BTBD2 : BTB (POZ) domain containing 2"
"28234"	"H200004349"	"NM_006137"	"CD7"	"CD7 : CD7 antigen precursor"
"28235"	"H200003589"	"NM_014947"	"FOXJ3"	"FOXJ3 : forkhead box J3"
"28237"	"H200003523"	"NM_007059"	"KPTN"	"KPTN : kaptin (actin binding protein)"
"28238"	"H200004307"	"NM_012071"	"COMMD3"	"COMMD3 : COMM domain containing 3"
"28239"	"H200003547"	"NM_001306"	"CLDN3"	"CLDN3 : claudin 3"
"28241"	"H200003571"	"NM_032872"	"SYTL1"	"SYTL1 : synaptotagmin-like 1"
"28243"	"H200003595"	"NM_006005"	"WFS1"	"WFS1 : wolframin"
"28244"	"H200004657"	"NM_006346"	"C13orf24"	"C13orf24 : progesterone-induced blocking factor 1"
"28245"	"H200003897"	"NM_001424"	"EMP2"	"EMP2 : epithelial membrane protein 2"
"28246"	"H200004681"	"NM_016033"	"FAM82B"	"FAM82B : hypothetical protein LOC51115"
"28247"	"H200003921"	"NM_024612"	"DHX40"	"DHX40 : DEAH (Asp-Glu-Ala-His) box polypeptide 40"
"28248"	"H200004705"	"NM_015439"	"CCDC28A"	"CCDC28A : coiled-coil domain containing 28A"
"28250"	"H200004729"	"NM_006915"	"RP2"	"RP2 : XRP2 protein"
"28252"	"H200004663"	"NM_020921"	"NIN"	"NIN : ninein isoform 2"
"28254"	"H200004687"	"NM_016132"	"MYEF2"	"MYEF2 : myelin gene expression factor 2"
"28255"	"H200001665"	"NM_001003891"	"PCQAP"	"PCQAP : positive cofactor 2, glutamine/Q-rich-associated"
"28256"	"H200002449"	"NM_014578"	"RHOD"	"RHOD : ras homolog D"
"28257"	"H200001689"	"NM_021175"	"HAMP"	"HAMP : hepcidin antimicrobial peptide"
"28258"	"H200002383"	"NM_152914"	"MGC33894"	"MGC33894 : transcript expressed during hematopoiesis 2"
"28259"	"H200001623"	"NM_006988"	"ADAMTS1"	"ADAMTS1 : ADAM metallopeptidase with thrombospondin type 1"
"28260"	"H200002407"	"NM_002395"	"ME1"	"ME1 : cytosolic malic enzyme 1"
"28261"	"H200001647"	"NM_004036"	"ADCY3"	"ADCY3 : adenylate cyclase 3"
"28265"	"H200001695"	"NM_013448"	"BAZ1A"	"BAZ1A : bromodomain adjacent to zinc finger domain, 1A"
"28266"	"H200002757"	"NM_004208"	"PDCD8"	"PDCD8 : programmed cell death 8 isoform 1"
"28267"	"H200001997"	"uc003adp.1"	"RP3-477H23.1-001"	"RP3-477H23.1-001 : OTTHUMP00000028696."
"28269"	"H200002021"	"NM_203379"	"ACSL5"	"ACSL5 : acyl-CoA synthetase long-chain family member 5"
"28273"	"H200002069"	"NM_198426"	"CHMP2A"	"CHMP2A : chromatin modifying protein 2A"
"28274"	"H200002763"	"uc001twi.1"	"TESC"	"TESC : Homo sapiens tescalcin mRNA, complete cds."
"28275"	"H200002003"	"NM_004872"	"TMEM59"	"TMEM59 : thymic dendritic cell-derived factor 1"
"28276"	"H200002787"	"NM_032936"	"TMEM60"	"TMEM60 : transmembrane protein 60"
"28277"	"H200002027"	"NM_017798"	"YTHDF1"	"YTHDF1 : YTH domain family, member 1"
"28279"	"H200002051"	"NM_003725"	"HSD17B6"	"HSD17B6 : hydroxysteroid (17-beta) dehydrogenase 6"
"28280"	"H200002835"	"NM_012193"	"FZD4"	"FZD4 : frizzled 4"
"28281"	"H200002075"	"NM_015275"	"KIAA1033"	"KIAA1033 : hypothetical protein LOC23325"
"28284"	"H200003161"	"NM_004999"	"MYO6"	"MYO6 : myosin VI"
"28285"	"H200002401"	"NM_006332"	"IFI30"	"IFI30 : interferon, gamma-inducible protein 30"
"28286"	"H200003185"	"NM_005873"	"RGS19"	"RGS19 : G protein signalling regulator 19"
"28287"	"H200002425"	"NM_024570"	"FLJ11712"	"FLJ11712 : deleted in lymphocytic leukemia 8"
"28288"	"H200003209"	"NM_022166"	"XYLT1"	"XYLT1 : xylosyltransferase I"
"28289"	"H200000097"	"NM_003435"	"ZNF134"	"ZNF134 : zinc finger protein 134"
"28290"	"H200000881"	"NM_017712"	"PGPEP1"	"PGPEP1 : pyroglutamyl-peptidase I"
"28291"	"H200000121"	"NM_145867"	"LTC4S"	"LTC4S : leukotriene C4 synthase"
"28293"	"H200000145"	"NM_000507"	"FBP1"	"FBP1 : fructose-1,6-bisphosphatase 1"
"28294"	"H200000929"	"NM_015331"	"NCSTN"	"NCSTN : nicastrin precursor"
"28295"	"H200000169"	"NM_002354"	"TACSTD1"	"TACSTD1 : tumor-associated calcium signal transducer 1"
"28296"	"H200000863"	"NM_007159"	"SLMAP"	"SLMAP : sarcolemma associated protein"
"28297"	"H200000103"	"NM_002452"	"NUDT1"	"NUDT1 : nudix-type motif 1 isoform p18"
"28298"	"H200000887"	"NM_016491"	"MRPL37"	"MRPL37 : mitochondrial ribosomal protein L37"
"28300"	"H200000911"	"NM_013444"	"UBQLN2"	"UBQLN2 : ubiquilin 2"
"28302"	"H200000935"	"NM_015540"	"RPAP1"	"RPAP1 : RNA polymerase II associated protein 1"
"28303"	"H200000175"	"NM_000423"	"KRT2A"	"KRT2A : keratin 2"
"28304"	"H200001237"	"NM_001033549"	"HSPC142"	"HSPC142 : hypothetical protein LOC29086"
"28305"	"H200000477"	"NM_002436"	"MPP1"	"MPP1 : palmitoylated membrane protein 1"
"28308"	"H200001285"	"NM_030800"	"C15orf44"	"C15orf44 : hypothetical protein LOC81556"
"28309"	"H200000525"	"NM_002852"	"PTX3"	"PTX3 : pentraxin-related gene, rapidly induced by IL-1"
"28310"	"H200001309"	"NM_181698"	"C10orf9"	"C10orf9 : cyclin fold protein 1 isoform 2"
"28314"	"H200001267"	"NM_015393"	"DKFZP564O0823"	"DKFZP564O0823 : DKFZP564O0823 protein"
"28316"	"H200001291"	"NM_020909"	"EPB41L5"	"EPB41L5 : erythrocyte membrane protein band 4.1 like 5"
"28317"	"H200000531"	"NM_003416"	"ZNF7"	"ZNF7 : zinc finger protein 7 (KOX 4, clone HF.16)"
"28318"	"H200001315"	"NM_021944"	"C14orf93"	"C14orf93 : hypothetical protein LOC60686"
"28321"	"H200000857"	"NM_012121"	"CDC42EP4"	"CDC42EP4 : Cdc42 effector protein 4"
"28322"	"H200001641"	"NM_002612"	"PDK4"	"PDK4 : pyruvate dehydrogenase kinase 4"
"28906"	"H300007555"	"NM_152756"	"RICTOR"	"RICTOR : rapamycin-insensitive companion of mTOR"
"28907"	"H300002101"	"NM_001005494"	"OR6C4"	"OR6C4 : olfactory receptor, family 6, subfamily C,"
"28910"	"H300002382"	"uc003hoz.1"	"AK095285"	"AK095285 : Homo sapiens cDNA FLJ37966 fis, clone CTONG2009871."
"28912"	"H300010321"	"NM_178176"	"MOGAT3"	"MOGAT3 : monoacylglycerol O-acyltransferase 3"
"28914"	"H300002875"	"NM_001039141"	"TRIOBP"	"TRIOBP : TRIO and F-actin binding protein isoform 6"
"28927"	"H300002327"	"uc002iyl.1"	"AF086204"	"AF086204 : Homo sapiens full length insert cDNA clone ZC45B12."
"28931"	"H300009318"	"uc002jzw.1"	"AL832593"	"AL832593 : Homo sapiens mRNA; cDNA DKFZp451M1616 (from clone DKFZp451M1616)."
"28932"	"H200003238"	"NM_001079518"	"THRAP4"	"THRAP4 : thyroid hormone receptor-associated protein 4"
"28942"	"H300002842"	"uc002bog.1"	"BC042063"	"BC042063 : Homo sapiens hypothetical protein LOC254571, mRNA (cDNA clone IMAGE:5724194), partial cds."
"28952"	"H300000031"	"NM_153690"	"FAM43A"	"FAM43A : hypothetical protein LOC131583"
"28964"	"H300004190"	"NM_207417"	"FLJ46082"	"FLJ46082 : hypothetical protein LOC389799"
"28973"	"H300015696"	"NM_001037325"	"CCDC46"	"CCDC46 : coiled-coil domain containing 46 isoform b"
"28977"	"H300007638"	"NM_138467"	"C1orf171"	"C1orf171 : tRNA-yW synthesizing protein 3 homolog"
"28983"	"H300004933"	"NM_144772"	"APOA1BP"	"APOA1BP : apolipoprotein A-I binding protein precursor"
"28985"	"H300007304"	"NM_198077"	"C1orf52"	"C1orf52 : hypothetical protein LOC148423"
"28987"	"H300008864"	"NM_148962"	"OXER1"	"OXER1 : G-protein coupled receptor TG1019"
"28988"	"H300022728"	"NM_032900"	"ARHGAP19"	"ARHGAP19 : Rho GTPase activating protein 19"
"28989"	"H300013215"	"NM_145048"	"MGC29898"	"MGC29898 : hypothetical protein LOC133015"
"28990"	"H300002325"	"uc002qmu.1"	"ZNF542"	"ZNF542 : Homo sapiens cDNA FLJ90087 fis, clone HEMBA1005230, weakly similar to ZINC FINGER PROTEIN 140."
"28993"	"H300005242"	"NM_181716"	"PRR6"	"PRR6 : proline rich 6"
"28997"	"H300005116"	"NM_198571"	"FLJ39237"	"FLJ39237 : hypothetical protein LOC375607"
"29006"	"H300019054"	"NM_153255"	"MCMDC1"	"MCMDC1 : minichromosome maintenance protein domain"
"29007"	"H200021098"	"uc003jdp.1"	"FLJ25076"	"FLJ25076 : Homo sapiens mRNA, clone: TH049G03."
"29014"	"H300020083"	"NM_152905"	"NEDD1"	"NEDD1 : neural precursor cell expressed, developmentally"
"29018"	"H300020148"	"NM_001048251"	"CMTM3"	"CMTM3 : chemokine-like factor superfamily 3"
"29028"	"H300000552"	"NM_152374"	"FLJ38984"	"FLJ38984 : hypothetical protein LOC127703"
"29032"	"H300016166"	"NM_203403"	"C9orf150"	"C9orf150 : hypothetical protein LOC286343"
"29033"	"H300016649"	"NM_212475"	"FN1"	"FN1 : fibronectin 1 isoform 2 preproprotein"
"29038"	"H200020356"	"uc002kww.1"	"BC017410"	"BC017410 : Homo sapiens, clone IMAGE:3932276, mRNA."
"29040"	"H200020380"	"NM_000017"	"ACADS"	"ACADS : acyl-Coenzyme A dehydrogenase, C-2 to C-3 short"
"29041"	"H200019620"	"NM_032369"	"HVCN1"	"HVCN1 : hydrogen voltage-gated channel 1"
"29043"	"H200019644"	"NM_052875"	"VPS26B"	"VPS26B : vacuolar protein sorting 26 homolog B"
"29050"	"H200020410"	"NM_030881"	"DDX17"	"DDX17 : DEAD box polypeptide 17 isoform 2"
"29051"	"H200019650"	"NM_032928"	"MGC14141"	"MGC14141 : transmembrane protein 141"
"29059"	"H200020024"	"uc002cqf.1"	"C16orf59"	"C16orf59 : Homo sapiens cDNA FLJ13909 fis, clone Y79AA1000065."
"29069"	"H200020332"	"NM_139167"	"SGCZ"	"SGCZ : sarcoglycan zeta"
"29078"	"H200018860"	"NM_001040424"	"PRDM15"	"PRDM15 : PR domain containing 15 isoform 2"
"29086"	"H200018866"	"NM_153373"	"MGC15875"	"MGC15875 : alanine-glyoxylate aminotransferase 2-like 2"
"29088"	"H200018890"	"NM_024325"	"ZNF343"	"ZNF343 : zinc finger protein 343"
"29094"	"H200019240"	"NM_032580"	"HES7"	"HES7 : hairy and enhancer of split 7"
"29096"	"H200019264"	"uc003vpl.1"	"AF277175"	"AF277175 : Homo sapiens clone DPDP-2 dental pulp-derived protein 2, mRNA sequence."
"29102"	"H200019246"	"NM_031896"	"CACNG7"	"CACNG7 : voltage-dependent calcium channel gamma-7"
"29106"	"H200016942"	"NM_017850"	"C1orf109"	"C1orf109 : hypothetical protein LOC54955"
"29108"	"H200016966"	"NM_018113"	"LMBR1L"	"LMBR1L : lipocalin-interacting membrane receptor"
"29111"	"H200016230"	"NM_016252"	"BIRC6"	"BIRC6 : baculoviral IAP repeat-containing 6"
"29112"	"H200017292"	"NM_003833"	"MATN4"	"MATN4 : matrilin 4 isoform 1 precursor"
"29113"	"H200016532"	"NM_017813"	"IMPAD1"	"IMPAD1 : myo-inositol monophosphatase A3"
"29114"	"H200017316"	"NM_001518"	"GTF2I"	"GTF2I : general transcription factor II, i isoform 4"
"29115"	"H200016556"	"NM_002204"	"ITGA3"	"ITGA3 : integrin alpha 3 isoform a precursor"
"29116"	"H200017340"	"NM_024419"	"PGS1"	"PGS1 : phosphatidylglycerophosphate synthase 1"
"29119"	"H200016604"	"NM_007114"	"TMF1"	"TMF1 : TATA element modulatory factor 1"
"29121"	"H200016538"	"NM_018206"	"VPS35"	"VPS35 : vacuolar protein sorting 35"
"29124"	"H200017346"	"NM_017745"	"BCOR"	"BCOR : BCL-6 interacting corepressor isoform 1"
"29133"	"H200016960"	"NM_017878"	"HRASLS2"	"HRASLS2 : HRAS-like suppressor 2"
"29140"	"H200015464"	"NM_020786"	"PDP2"	"PDP2 : pyruvate dehydrogenase phosphatase isoenzyme 2"
"29143"	"H200014638"	"NM_004360"	"CDH1"	"CDH1 : cadherin 1, type 1 preproprotein"
"29144"	"H200015422"	"NM_015548"	"DST"	"DST : dystonin isoform 1eA precursor"
"29146"	"H200015446"	"NM_007110"	"TEP1"	"TEP1 : telomerase-associated protein 1"
"29149"	"H200014710"	"NM_001456"	"FLNA"	"FLNA : filamin A, alpha"
"29151"	"H200015012"	"NM_005453"	"ZNF297"	"ZNF297 : zinc finger protein 297"
"29153"	"H200015036"	"NM_001079817"	"INSR"	"INSR : insulin receptor isoform Short precursor"
"29155"	"H200015060"	"NM_020943"	"KIAA1604"	"KIAA1604 : hypothetical protein LOC57703"
"29156"	"H200015844"	"NM_001251"	"CD68"	"CD68 : CD68 antigen isoform A"
"29158"	"H200015778"	"NM_024295"	"DERL1"	"DERL1 : Der1-like domain family, member 1"
"29162"	"H200015826"	"NM_144982"	"PSRC2"	"PSRC2 : proline/serine-rich coiled-coil 2"
"29164"	"H200015850"	"NM_139068"	"MAPK9"	"MAPK9 : mitogen-activated protein kinase 9 isoform JNK2"
"29166"	"H200016152"	"NM_000681"	"ADRA2A"	"ADRA2A : alpha-2A-adrenergic receptor"
"29168"	"H200016176"	"NM_002645"	"PIK3C2A"	"PIK3C2A : phosphoinositide-3-kinase, class 2, alpha"
"29170"	"H200016200"	"uc002rpb.1"	"tmp_locus_39"	"tmp_locus_39 : Hypothetical protein tmp_locus_39."
"29173"	"H200013112"	"NM_018697"	"LANCL2"	"LANCL2 : LanC lantibiotic synthetase component C-like 2"
"29174"	"H200013896"	"NM_005671"	"UBXD6"	"UBXD6 : reproduction 8"
"29175"	"H200013136"	"NM_003708"	"RDH16"	"RDH16 : retinol dehydrogenase 16"
"29176"	"H200013920"	"NM_002526"	"NT5E"	"NT5E : 5' nucleotidase, ecto"
"29178"	"H200013944"	"NM_002845"	"PTPRM"	"PTPRM : protein tyrosine phosphatase, receptor type, M"
"29188"	"H200014252"	"NM_000159"	"GCDH"	"GCDH : glutaryl-Coenzyme A dehydrogenase isoform a"
"29189"	"H200013492"	"NM_145345"	"UBXD5"	"UBXD5 : socius isoform 1"
"29190"	"H200014276"	"NM_024844"	"NUP85"	"NUP85 : nucleoporin 85"
"29192"	"H200014300"	"NM_003486"	"SLC7A5"	"SLC7A5 : solute carrier family 7 (cationic amino acid"
"29194"	"H200014324"	"NM_001083601"	"FLJ14154"	"FLJ14154 : N/A"
"29197"	"H200013498"	"NM_003011"	"SET"	"SET : SET translocation (myeloid leukemia-associated)"
"29200"	"H200014306"	"NM_013279"	"C11orf9"	"C11orf9 : hypothetical protein LOC745"
"29201"	"H200013546"	"NM_022842"	"CDCP1"	"CDCP1 : CUB domain-containing protein 1 isoform 1"
"29205"	"H200013872"	"NM_022817"	"PER2"	"PER2 : period 2"
"29211"	"H200011592"	"NM_172226"	"CAMKK2"	"CAMKK2 : calcium/calmodulin-dependent protein kinase"
"29213"	"H200011616"	"NM_016145"	"C19orf56"	"C19orf56 : hypothetical protein LOC51398"
"29214"	"H200012400"	"NM_006768"	"BRAP"	"BRAP : BRCA1 associated protein"
"29216"	"H200012424"	"NM_004174"	"SLC9A3"	"SLC9A3 : solute carrier family 9 (sodium/hydrogen"
"29217"	"H200011664"	"uc002fcw.1"	"AL833498"	"AL833498 : Homo sapiens cDNA FLJ32797 fis, clone TESTI2002467."
"29219"	"H200011598"	"NM_001009570"	"CCT7"	"CCT7 : chaperonin containing TCP1, subunit 7 isoform b"
"29220"	"H200012382"	"NM_016426"	"GTSE1"	"GTSE1 : G-2 and S-phase expressed 1"
"29222"	"H200012406"	"NM_004783"	"TAOK2"	"TAOK2 : TAO kinase 2 isoform 1"
"29223"	"H200011646"	"NM_138444"	"KCTD12"	"KCTD12 : potassium channel tetramerisation domain"
"29225"	"H200011670"	"NM_006026"	"H1FX"	"H1FX : H1 histone family, member X"
"29226"	"H200012732"	"NM_138462"	"ZMYND19"	"ZMYND19 : zinc finger, MYND domain containing 19"
"29227"	"H200011972"	"NM_013247"	"HTRA2"	"HTRA2 : HtrA serine peptidase 2 isoform 1 preproprotein"
"29230"	"H200012780"	"NM_002547"	"OPHN1"	"OPHN1 : oligophrenin 1"
"29235"	"H200011978"	"NM_002287"	"LAIR1"	"LAIR1 : leukocyte-associated immunoglobulin-like"
"29236"	"H200012762"	"NM_020432"	"PHTF2"	"PHTF2 : putative homeodomain transcription factor 2"
"29237"	"H200012002"	"NM_173636"	"WDR62"	"WDR62 : WD repeat domain 62"
"29238"	"H200012786"	"NM_016240"	"SCARA3"	"SCARA3 : scavenger receptor class A, member 3 isoform 1"
"29242"	"H200010482"	"NM_005273"	"GNB2"	"GNB2 : guanine nucleotide-binding protein, beta-2"
"29244"	"H200010506"	"uc003kdl.1"	"KIAA0888"	"KIAA0888 : Homo sapiens mRNA for KIAA0888 protein, partial cds."
"29246"	"H200010530"	"NM_014316"	"CARHSP1"	"CARHSP1 : calcium-regulated heat-stable protein 1"
"29251"	"H200010096"	"NM_031922"	"REPS1"	"REPS1 : RALBP1 associated Eps domain containing 1"
"29252"	"H200010880"	"NM_018952"	"HOXB6"	"HOXB6 : homeobox B6"
"29254"	"H200010904"	"NM_152721"	"DOK6"	"DOK6 : docking protein 5-like"
"29255"	"H200010144"	"NM_017967"	"FLJ20850"	"FLJ20850 : hypothetical protein LOC55049"
"29256"	"H200010838"	"NM_032040"	"CCDC8"	"CCDC8 : coiled-coil domain containing 8"
"29259"	"H200010102"	"NM_015265"	"SATB2"	"SATB2 : SATB family member 2"
"29260"	"H200010886"	"NM_024690"	"MUC16"	"MUC16 : mucin 16"
"29264"	"H200011212"	"uc002pzd.1"	"AF086165"	"AF086165 : Homo sapiens full length insert cDNA clone ZB81C03."
"29267"	"H200010476"	"NM_019018"	"FAM105A"	"FAM105A : hypothetical protein LOC54491"
"29271"	"H200010524"	"NM_002073"	"GNAZ"	"GNAZ : guanine nucleotide binding protein, alpha z"
"29273"	"H200010458"	"NM_012086"	"GTF3C3"	"GTF3C3 : general transcription factor IIIC, polypeptide"
"29277"	"H200008244"	"NM_005828"	"WDR68"	"WDR68 : WD-repeat protein"
"29283"	"H200008226"	"NM_005714"	"KCNK7"	"KCNK7 : potassium channel, subfamily K, member 7 isoform"
"29284"	"H200009010"	"uc002nuo.1"	"BC114482"	"BC114482 : Homo sapiens cDNA FLJ12355 fis, clone MAMMA1002333."
"29286"	"H200009312"	"NM_025104"	"DBF4B"	"DBF4B : DBF4 homolog B isoform 2"
"29287"	"H200008552"	"NM_017721"	"CC2D1A"	"CC2D1A : coiled-coil and C2 domain containing 1A"
"29289"	"H200008576"	"NM_016407"	"C20orf43"	"C20orf43 : hypothetical protein LOC51507"
"29291"	"H200008600"	"NM_005741"	"ZNF263"	"ZNF263 : zinc finger protein 263"
"29292"	"H200009384"	"NM_002624"	"PFDN5"	"PFDN5 : prefoldin subunit 5 isoform alpha"
"29300"	"H200009390"	"NM_025137"	"KIAA1840"	"KIAA1840 : hypothetical protein LOC80208"
"29301"	"H200008630"	"NM_033064"	"ATCAY"	"ATCAY : caytaxin"
"29303"	"H200008932"	"NM_015906"	"TRIM33"	"TRIM33 : tripartite motif-containing 33 protein isoform"
"29309"	"H200006652"	"NM_000633"	"BCL2"	"BCL2 : B-cell lymphoma protein 2 alpha isoform"
"29312"	"H200007460"	"NM_001083606"	"PTCH1"	"PTCH1 : N/A"
"29314"	"H200007484"	"NM_006295"	"VARS"	"VARS : valyl-tRNA synthetase"
"29315"	"H200006724"	"NM_004685"	"MTMR6"	"MTMR6 : myotubularin related protein 6"
"29319"	"H200006682"	"NM_000411"	"HLCS"	"HLCS : holocarboxylase synthetase"
"29321"	"H200006706"	"NM_001002836"	"LOC126208"	"LOC126208 : zinc finger protein 787"
"29325"	"H200007032"	"NM_007359"	"CASC3"	"CASC3 : metastatic lymph node 51"
"29327"	"H200007056"	"NM_004604"	"STX4A"	"STX4A : syntaxin 4A (placental)"
"29329"	"H200007080"	"NM_000211"	"ITGB2"	"ITGB2 : integrin, beta 2 precursor"
"29330"	"H200007864"	"NM_003422"	"ZNF42"	"ZNF42 : zinc finger protein 42 isoform 1"
"29331"	"H200007104"	"NM_001025159"	"CD74"	"CD74 : CD74 antigen isoform a"
"29332"	"H200007798"	"NM_001973"	"ELK4"	"ELK4 : ELK4 protein isoform a"
"29333"	"H200007038"	"NM_003107"	"SOX4"	"SOX4 : SRY (sex determining region Y)-box 4"
"29334"	"H200007822"	"NM_000041"	"APOE"	"APOE : apolipoprotein E precursor"
"29337"	"H200007086"	"NM_006380"	"APPBP2"	"APPBP2 : amyloid beta precursor protein-binding protein"
"29338"	"H200007870"	"NM_021639"	"GPBP1L1"	"GPBP1L1 : GC-rich promoter binding protein 1-like 1"
"29340"	"H200008172"	"NM_007349"	"PAXIP1"	"PAXIP1 : PAX interacting protein 1"
"29341"	"H200007412"	"NM_015872"	"ZBTB7B"	"ZBTB7B : kruppel-related zinc finger protein hcKrox"
"29343"	"H200004806"	"NM_001042574"	"CRTC3"	"CRTC3 : transducer of regulated CREB protein 3 isoform"
"29346"	"H200005892"	"uc003obv.1"	"HLA-DQB1"	"HLA-DQB1 : MHC class II antigen (OTTHUMP00000029167)."
"29347"	"H200005132"	"NM_030913"	"SEMA6C"	"SEMA6C : semaphorin Y"
"29348"	"H200005916"	"NM_004430"	"EGR3"	"EGR3 : early growth response 3"
"29351"	"H200005180"	"NM_024650"	"FLJ22531"	"FLJ22531 : hypothetical protein LOC79703"
"29352"	"H200005964"	"NM_001031696"	"PLD3"	"PLD3 : phospholipase D3 isoform 1"
"29357"	"H200005162"	"NM_004282"	"BAG2"	"BAG2 : BCL2-associated athanogene 2"
"29359"	"H200005186"	"NM_031919"	"FSD1L"	"FSD1L : fibronectin type III and SPRY domain containing"
"29360"	"H200005970"	"NM_003156"	"STIM1"	"STIM1 : stromal interaction molecule 1 precursor"
"29362"	"H200006272"	"NM_001042603"	"JARID1A"	"JARID1A : retinoblastoma binding protein 2 isoform 1"
"29363"	"H200005512"	"uc003dep.1"	"SNHG8"	"SNHG8 : SNHG8 protein (Fragment)."
"29367"	"H200005560"	"NM_017702"	"FLJ20186"	"FLJ20186 : differentially expressed in FDCP 8 isoform 2"
"29368"	"H200006344"	"NM_032868"	"MPND"	"MPND : MPN domain containing"
"29370"	"H200006278"	"NM_001040034"	"CD63"	"CD63 : CD63 antigen isoform B"
"29371"	"H200005518"	"NM_001083947"	"TMPRSS4"	"TMPRSS4 : N/A"
"29372"	"H200006302"	"NM_052886"	"MAL2"	"MAL2 : MAL2 proteolipid protein"
"29376"	"H200006350"	"NM_001008938"	"CKAP5"	"CKAP5 : colonic and hepatic tumor over-expressed protein"
"29378"	"H200004022"	"NM_012296"	"GAB2"	"GAB2 : GRB2-associated binding protein 2 isoform b"
"29379"	"H200003262"	"NM_005615"	"RNASE6"	"RNASE6 : ribonuclease, RNase A family, k6"
"29381"	"H200003286"	"NM_012127"	"CIZ1"	"CIZ1 : Cip1-interacting zinc finger protein"
"29383"	"H200003310"	"NM_002336"	"LRP6"	"LRP6 : low density lipoprotein receptor-related protein"
"29385"	"H200003612"	"NM_198077"	"C1orf52"	"C1orf52 : hypothetical protein LOC148423"
"29386"	"H200004396"	"NM_001037172"	"ACPL2"	"ACPL2 : acid phosphatase-like 2"
"29388"	"H200004420"	"NM_003681"	"PDXK"	"PDXK : pyridoxal kinase"
"29390"	"H200004444"	"NM_014343"	"CLDN15"	"CLDN15 : claudin 15 isoform 1"
"29393"	"H200003618"	"NM_198149"	"TMEM58"	"TMEM58 : transmembrane protein 58"
"29397"	"H200003666"	"NM_001089"	"ABCA3"	"ABCA3 : ATP-binding cassette, sub-family A member 3"
"29398"	"H200004450"	"NM_005727"	"TSPAN1"	"TSPAN1 : tetraspan 1"
"29399"	"H200003690"	"NM_021158"	"TRIB3"	"TRIB3 : tribbles 3"
